loan,months,income,expenses,necessary_expenses,unnecessary_expenses,loan_payment
10710.0,48,4658.58,2787.05,2204.96,582.1,242.42
10710.0,48,4658.58,2555.45,2082.52,472.93,264.39
10710.0,48,4658.58,2601.91,2117.87,484.03,259.67
10710.0,48,4658.58,2697.72,2095.64,602.08,250.45
10710.0,48,4658.58,2817.87,2219.44,598.43,239.77
10710.0,48,4658.58,2826.97,2268.93,558.04,239.0
10710.0,48,4658.58,2881.45,2164.47,716.98,234.48
10710.0,48,4658.58,2652.44,2203.3,449.15,254.72
10710.0,48,4658.58,2425.68,2029.95,395.73,267.75
10710.0,48,4658.58,2677.15,2248.76,428.39,205.4
37485.0,60,7331.56,3844.23,3220.09,624.14,749.7
37485.0,60,7331.56,4254.34,3278.19,976.15,699.82
37485.0,60,7331.56,4066.57,3205.89,860.69,732.13
37485.0,60,7331.56,4073.0,3508.51,564.49,730.97
37485.0,60,7331.56,4065.87,3352.71,713.16,732.25
37485.0,60,7331.56,4188.68,3403.61,785.07,710.79
37485.0,60,7331.56,3965.95,3368.73,597.23,749.7
37485.0,60,7331.56,4102.27,3344.12,758.16,725.76
37485.0,60,7331.56,4296.66,3455.35,841.31,692.92
37485.0,60,7331.56,4125.99,3424.54,701.44,721.59
37485.0,60,7331.56,3914.13,3352.93,561.21,749.7
37485.0,60,7331.56,4169.33,3338.35,830.98,714.08
37485.0,60,7331.56,4064.11,3429.37,634.74,732.57
37485.0,60,7331.56,4349.33,3555.26,794.07,684.53
37485.0,60,7331.56,4394.94,3476.95,917.99,677.43
37485.0,60,7331.56,4222.02,3565.63,656.39,705.17
37485.0,60,7331.56,3870.83,3240.18,630.65,749.7
37485.0,60,7331.56,4147.43,3291.76,855.67,717.86
37485.0,60,7331.56,4296.7,3394.88,901.82,692.92
37485.0,60,7331.56,4215.46,3550.98,664.48,706.27
37485.0,60,7331.56,4031.71,3237.89,793.81,738.46
37485.0,60,7331.56,4192.15,3471.67,720.47,710.2
37485.0,60,7331.56,4419.44,3530.3,889.14,673.67
37485.0,60,7331.56,4394.17,3553.39,840.78,677.55
37485.0,60,7331.56,4145.78,3360.86,784.93,718.14
37485.0,60,7331.56,4219.1,3473.0,746.1,705.66
37485.0,60,7331.56,3848.25,3200.41,647.84,749.7
37485.0,60,7331.56,4116.76,3262.97,853.8,723.2
37485.0,60,7331.56,3853.58,3226.87,626.72,749.7
37485.0,60,7331.56,4034.91,3257.11,777.8,737.87
37485.0,60,7331.56,4124.67,3364.23,760.43,721.82
37485.0,60,7331.56,4222.16,3324.53,897.62,705.15
37485.0,60,7331.56,3852.22,3195.7,656.52,749.7
37485.0,60,7331.56,3867.3,3313.31,553.99,749.7
37485.0,60,7331.56,4104.24,3408.84,695.4,725.41
37485.0,60,7331.56,3863.62,3342.41,521.21,749.7
37485.0,60,7331.56,4330.66,3573.48,757.18,687.48
37485.0,60,7331.56,4286.96,3547.42,739.54,694.49
37485.0,60,7331.56,4368.73,3543.5,825.23,681.49
37485.0,60,7331.56,4077.93,3249.46,828.47,730.09
37485.0,60,7331.56,4180.88,3450.95,729.93,712.11
37485.0,60,7331.56,4081.09,3382.64,698.45,729.52
37485.0,60,7331.56,4120.32,3221.91,898.42,722.58
37485.0,60,7331.56,4078.34,3403.63,674.71,730.02
37485.0,60,7331.56,4311.46,3568.33,743.12,690.54
37485.0,60,7331.56,3981.17,3324.26,656.91,747.83
37485.0,60,7331.56,4158.35,3470.79,687.56,715.97
37485.0,60,7331.56,4076.14,3269.09,807.05,730.41
37485.0,60,7331.56,4034.38,3328.3,706.08,737.97
37485.0,60,7331.56,4037.76,3224.0,813.76,737.35
37485.0,60,7331.56,3990.0,3397.42,592.58,746.18
37485.0,60,7331.56,4281.25,3569.13,712.13,695.42
37485.0,60,7331.56,4145.21,3364.52,780.69,34.05
16065.0,24,9340.76,5446.0,4423.6,1022.4,746.26
16065.0,24,9340.76,5551.05,4496.97,1054.08,732.13
16065.0,24,9340.76,5195.05,4454.82,740.22,782.3
16065.0,24,9340.76,5677.01,4446.95,1230.05,715.89
16065.0,24,9340.76,5528.05,4534.11,993.94,735.18
16065.0,24,9340.76,5398.1,4331.54,1066.56,752.88
16065.0,24,9340.76,5312.74,4120.21,1192.54,764.97
16065.0,24,9340.76,5314.77,4332.35,982.42,764.68
16065.0,24,9340.76,5361.35,4473.32,888.03,758.04
16065.0,24,9340.76,4949.85,4137.54,812.31,803.25
16065.0,24,9340.76,5222.43,4215.78,1006.65,778.2
16065.0,24,9340.76,5591.45,4466.21,1125.24,726.84
16065.0,24,9340.76,5134.59,4195.39,939.2,791.52
16065.0,24,9340.76,5486.38,4298.13,1188.25,740.76
16065.0,24,9340.76,5620.39,4507.25,1113.14,723.1
16065.0,24,9340.76,4982.43,4212.81,769.62,803.25
16065.0,24,9340.76,5395.26,4263.8,1131.46,753.27
16065.0,24,9340.76,5196.64,4088.52,1108.12,782.06
16065.0,24,9340.76,5061.16,4203.84,857.32,803.0
16065.0,24,9340.76,5349.2,4190.35,1158.85,759.76
16065.0,24,9340.76,4825.14,4104.92,720.22,803.25
16065.0,24,9340.76,4974.31,4227.64,746.67,44.4
8925.0,24,7336.31,4138.59,3480.7,657.89,428.49
8925.0,24,7336.31,4275.32,3488.68,786.65,414.78
8925.0,24,7336.31,4502.81,3542.41,960.41,393.83
8925.0,24,7336.31,3992.07,3300.37,691.71,444.21
8925.0,24,7336.31,4037.24,3287.15,750.09,439.24
8925.0,24,7336.31,4184.77,3359.72,825.05,423.76
8925.0,24,7336.31,4364.94,3466.96,897.99,406.27
8925.0,24,7336.31,3955.45,3275.55,679.9,446.25
8925.0,24,7336.31,4213.77,3297.18,916.59,420.84
8925.0,24,7336.31,3979.95,3432.7,547.24,445.56
8925.0,24,7336.31,3900.95,3225.05,675.9,446.25
8925.0,24,7336.31,4203.37,3567.74,635.62,421.88
8925.0,24,7336.31,4380.28,3451.74,928.54,404.84
8925.0,24,7336.31,3920.45,3313.39,607.06,446.25
8925.0,24,7336.31,4005.28,3289.39,715.89,442.75
8925.0,24,7336.31,4234.82,3514.84,719.98,418.75
8925.0,24,7336.31,4249.88,3526.65,723.23,417.27
8925.0,24,7336.31,4098.19,3314.15,784.04,432.71
8925.0,24,7336.31,3911.13,3274.13,637.0,446.25
8925.0,24,7336.31,4175.57,3570.64,604.93,424.69
8925.0,24,7336.31,4255.13,3517.95,737.18,360.14
27930.0,60,8710.96,4702.78,3883.25,819.52,558.6
27930.0,60,8710.96,4828.05,3899.4,928.65,545.92
27930.0,60,8710.96,5176.51,4205.02,971.49,509.17
27930.0,60,8710.96,5034.38,4122.85,911.53,523.54
27930.0,60,8710.96,4453.49,3794.52,658.97,558.6
27930.0,60,8710.96,4989.44,4010.75,978.69,528.26
27930.0,60,8710.96,4839.18,4160.56,678.61,544.66
27930.0,60,8710.96,5051.62,4078.46,973.16,521.76
27930.0,60,8710.96,5071.1,4035.43,1035.67,519.75
27930.0,60,8710.96,4726.03,3967.31,758.72,557.7
27930.0,60,8710.96,4855.31,4042.21,813.1,542.85
27930.0,60,8710.96,4966.81,3808.93,1157.88,530.67
27930.0,60,8710.96,4776.51,3838.92,937.59,551.81
27930.0,60,8710.96,4668.43,3871.2,797.23,558.6
27930.0,60,8710.96,4732.11,3902.31,829.8,556.99
27930.0,60,8710.96,4880.05,4060.31,819.74,540.1
27930.0,60,8710.96,4687.03,3913.93,773.1,558.6
27930.0,60,8710.96,5071.98,3915.78,1156.2,519.66
27930.0,60,8710.96,4984.83,3881.04,1103.79,528.75
27930.0,60,8710.96,5116.3,4099.31,1016.99,515.16
27930.0,60,8710.96,4846.15,4049.79,796.37,543.88
27930.0,60,8710.96,4849.57,3913.08,936.49,543.5
27930.0,60,8710.96,4770.57,3863.02,907.55,552.5
27930.0,60,8710.96,4979.0,4113.05,865.94,529.37
27930.0,60,8710.96,4785.97,4015.27,770.7,550.72
27930.0,60,8710.96,4828.56,4088.62,739.93,545.86
27930.0,60,8710.96,5006.33,3940.68,1065.66,526.48
27930.0,60,8710.96,4704.81,3893.78,811.03,558.6
27930.0,60,8710.96,5121.99,4235.45,886.54,514.59
27930.0,60,8710.96,4941.68,4114.98,826.71,533.36
27930.0,60,8710.96,5019.12,4142.44,876.68,525.14
27930.0,60,8710.96,4921.89,3928.5,993.38,535.51
27930.0,60,8710.96,4686.44,3953.93,732.51,558.6
27930.0,60,8710.96,5083.26,3884.31,1198.95,518.51
27930.0,60,8710.96,4853.63,3872.07,981.56,543.04
27930.0,60,8710.96,4663.91,3854.75,809.16,558.6
27930.0,60,8710.96,5011.01,4038.58,972.42,525.99
27930.0,60,8710.96,4966.25,3962.98,1003.27,530.73
27930.0,60,8710.96,4918.28,3976.71,941.57,535.9
27930.0,60,8710.96,5002.7,4069.23,933.47,526.86
27930.0,60,8710.96,4764.82,3986.61,778.21,553.16
27930.0,60,8710.96,4925.11,4219.83,705.28,535.16
27930.0,60,8710.96,4765.08,3909.43,855.65,553.13
27930.0,60,8710.96,4919.85,4010.61,909.23,535.73
27930.0,60,8710.96,5436.77,4101.03,1335.73,484.8
27930.0,60,8710.96,5239.25,4214.94,1024.31,503.07
27930.0,60,8710.96,4761.91,4010.61,751.3,553.5
27930.0,60,8710.96,4970.93,4210.62,760.3,530.23
27930.0,60,8710.96,4962.38,4031.91,930.47,531.14
27930.0,60,8710.96,4867.57,4168.35,699.22,541.49
27930.0,60,8710.96,5292.09,4244.59,1047.5,498.05
27930.0,60,8710.96,5007.9,4053.89,954.02,526.31
27930.0,60,8710.96,4797.43,3836.04,961.39,55.36
21210.0,12,5628.87,3308.9,2696.35,612.55,1954.38
21210.0,12,5628.87,3070.93,2553.66,517.27,2105.83
21210.0,12,5628.87,3074.39,2473.8,600.6,2103.46
21210.0,12,5628.87,3127.23,2556.03,571.2,2067.92
21210.0,12,5628.87,2991.99,2485.05,506.95,2121.0
21210.0,12,5628.87,3289.66,2715.55,574.11,1965.82
21210.0,12,5628.87,3310.88,2709.5,601.38,1953.21
21210.0,12,5628.87,3253.12,2488.58,764.54,1987.9
21210.0,12,5628.87,3161.48,2690.92,470.57,2045.52
21210.0,12,5628.87,3037.45,2481.83,555.62,2121.0
21210.0,12,5628.87,3384.91,2634.95,749.96,783.95
38430.0,48,2816.2,1582.83,1285.19,297.64,925.92
38430.0,48,2816.2,1620.67,1336.96,283.71,904.3
38430.0,48,2816.2,1647.23,1370.13,277.11,889.72
38430.0,48,2816.2,1644.56,1348.81,295.75,891.16
38430.0,48,2816.2,1541.88,1289.33,252.54,950.51
38430.0,48,2816.2,1643.61,1361.08,282.53,891.68
38430.0,48,2816.2,1858.01,1229.41,628.6,788.78
38430.0,48,2816.2,1537.26,1279.49,257.77,953.36
38430.0,48,2816.2,1636.77,1310.74,326.03,895.4
38430.0,48,2816.2,1530.7,1310.16,220.54,957.45
38430.0,48,2816.2,1553.46,1247.55,305.91,943.42
38430.0,48,2816.2,1698.49,1358.14,340.35,862.87
38430.0,48,2816.2,1616.92,1277.89,339.03,906.39
38430.0,48,2816.2,1588.57,1344.31,244.26,922.57
38430.0,48,2816.2,1615.76,1326.33,289.44,907.04
38430.0,48,2816.2,1655.66,1325.02,330.64,885.19
38430.0,48,2816.2,1567.63,1248.9,318.73,934.89
38430.0,48,2816.2,1571.31,1320.38,250.93,932.7
38430.0,48,2816.2,1515.31,1246.9,268.41,960.75
38430.0,48,2816.2,1557.68,1291.1,266.57,940.87
38430.0,48,2816.2,1460.95,1262.49,198.46,960.75
38430.0,48,2816.2,1520.38,1288.24,232.14,960.75
38430.0,48,2816.2,1555.68,1304.3,251.38,942.08
38430.0,48,2816.2,1541.55,1229.78,311.77,950.71
38430.0,48,2816.2,1732.9,1240.56,492.35,845.73
38430.0,48,2816.2,1609.24,1303.1,306.14,910.72
38430.0,48,2816.2,1478.26,1239.23,239.02,960.75
38430.0,48,2816.2,1536.03,1245.88,290.15,954.13
38430.0,48,2816.2,1547.45,1236.05,311.4,947.09
38430.0,48,2816.2,1561.91,1300.25,261.65,938.32
38430.0,48,2816.2,1651.3,1361.1,290.2,887.52
38430.0,48,2816.2,1517.21,1249.72,267.49,960.75
38430.0,48,2816.2,1500.23,1292.22,208.01,960.75
38430.0,48,2816.2,1602.83,1305.41,297.42,914.37
38430.0,48,2816.2,1569.67,1369.47,200.2,933.68
38430.0,48,2816.2,1525.55,1295.8,229.75,960.68
38430.0,48,2816.2,1693.66,1364.0,329.66,865.32
38430.0,48,2816.2,1605.55,1338.91,266.63,912.82
38430.0,48,2816.2,1538.24,1293.63,244.6,952.76
38430.0,48,2816.2,1899.15,1238.98,660.18,771.7
38430.0,48,2816.2,1582.63,1296.59,286.04,926.03
38430.0,48,2816.2,1620.72,1322.04,298.68,767.62
8295.0,12,3841.55,2151.01,1794.01,357.0,802.44
8295.0,12,3841.55,2197.18,1834.5,362.69,785.58
8295.0,12,3841.55,2317.67,1703.65,614.02,744.74
8295.0,12,3841.55,2124.18,1695.65,428.53,812.57
8295.0,12,3841.55,2032.25,1711.91,320.34,829.5
8295.0,12,3841.55,2499.39,1852.51,646.88,690.59
8295.0,12,3841.55,2399.49,1693.55,705.94,719.34
8295.0,12,3841.55,2072.71,1746.38,326.33,829.5
8295.0,12,3841.55,2031.5,1684.67,346.83,829.5
8295.0,12,3841.55,2120.39,1812.41,307.98,814.03
8295.0,12,3841.55,2161.76,1687.6,474.17,437.22
22995.0,36,1989.69,1176.39,923.31,253.08,702.23
22995.0,36,1989.69,1144.7,955.03,189.67,721.67
22995.0,36,1989.69,1090.85,898.1,192.76,757.29
22995.0,36,1989.69,1116.53,943.44,173.09,739.88
22995.0,36,1989.69,1092.43,898.87,193.56,756.2
22995.0,36,1989.69,1106.21,892.44,213.77,746.78
22995.0,36,1989.69,1117.57,914.51,203.07,739.19
22995.0,36,1989.69,1079.05,912.13,166.92,765.58
22995.0,36,1989.69,1040.3,869.84,170.46,766.5
22995.0,36,1989.69,1113.5,926.92,186.58,741.89
22995.0,36,1989.69,1100.79,890.82,209.97,750.46
22995.0,36,1989.69,1182.3,964.24,218.07,698.72
22995.0,36,1989.69,1123.45,915.27,208.18,735.32
22995.0,36,1989.69,1147.96,959.64,188.32,719.62
22995.0,36,1989.69,1475.33,900.63,574.7,575.17
22995.0,36,1989.69,1160.49,950.27,210.22,711.85
22995.0,36,1989.69,1186.07,939.01,247.06,696.5
22995.0,36,1989.69,1121.23,930.33,190.91,736.77
22995.0,36,1989.69,1109.56,935.4,174.16,744.52
22995.0,36,1989.69,1097.61,885.22,212.39,752.63
22995.0,36,1989.69,1041.41,867.47,173.93,766.5
22995.0,36,1989.69,1141.47,889.63,251.84,723.71
22995.0,36,1989.69,1095.61,948.22,147.39,754.01
22995.0,36,1989.69,1106.61,882.78,223.83,746.51
22995.0,36,1989.69,1424.55,956.51,468.04,579.9
22995.0,36,1989.69,1086.86,868.76,218.1,760.08
22995.0,36,1989.69,1122.13,906.25,215.88,736.18
22995.0,36,1989.69,1190.24,963.67,226.56,694.06
22995.0,36,1989.69,1538.9,960.26,578.64,536.81
22995.0,36,1989.69,1176.67,944.81,231.87,702.06
22995.0,36,1989.69,1144.68,943.38,201.3,721.68
22995.0,36,1989.69,1061.1,879.19,181.91,714.73
6615.0,60,1701.22,914.57,748.5,166.07,132.3
6615.0,60,1701.22,980.7,783.23,197.47,124.31
6615.0,60,1701.22,928.69,774.03,154.66,131.28
6615.0,60,1701.22,1320.75,781.34,539.41,109.25
6615.0,60,1701.22,951.31,811.58,139.73,128.15
6615.0,60,1701.22,941.36,791.23,150.13,129.51
6615.0,60,1701.22,968.8,767.39,201.41,125.84
6615.0,60,1701.22,980.48,824.09,156.38,124.34
6615.0,60,1701.22,970.49,793.33,177.16,125.62
6615.0,60,1701.22,935.18,745.82,189.37,130.36
6615.0,60,1701.22,1341.07,810.22,530.85,107.08
6615.0,60,1701.22,918.11,748.83,169.28,132.3
6615.0,60,1701.22,940.85,769.64,171.2,129.58
6615.0,60,1701.22,914.11,765.79,148.32,132.3
6615.0,60,1701.22,977.98,819.85,158.14,124.66
6615.0,60,1701.22,917.79,775.95,141.84,132.3
6615.0,60,1701.22,1153.29,751.91,401.38,105.71
6615.0,60,1701.22,1199.64,803.24,396.4,104.42
6615.0,60,1701.22,933.28,799.21,134.06,130.63
6615.0,60,1701.22,1024.8,792.05,232.75,118.96
6615.0,60,1701.22,994.95,814.05,180.9,122.53
6615.0,60,1701.22,1036.27,819.22,217.04,117.65
6615.0,60,1701.22,993.87,772.86,221.01,122.67
6615.0,60,1701.22,1148.86,767.41,381.45,106.12
6615.0,60,1701.22,977.13,796.73,180.4,124.77
6615.0,60,1701.22,958.14,773.02,185.12,127.24
6615.0,60,1701.22,886.88,762.27,124.61,132.3
6615.0,60,1701.22,1005.85,814.15,191.7,121.2
6615.0,60,1701.22,1151.05,766.44,384.61,105.92
6615.0,60,1701.22,897.53,746.72,150.81,132.3
6615.0,60,1701.22,966.14,794.88,171.26,126.19
6615.0,60,1701.22,929.17,797.27,131.9,131.21
6615.0,60,1701.22,1016.54,812.49,204.05,119.93
6615.0,60,1701.22,953.23,743.11,210.12,127.9
6615.0,60,1701.22,902.22,742.6,159.62,132.3
6615.0,60,1701.22,954.77,760.88,193.9,127.69
6615.0,60,1701.22,983.03,808.41,174.62,124.02
6615.0,60,1701.22,924.27,767.13,157.14,131.9
6615.0,60,1701.22,1040.86,826.86,213.99,117.13
6615.0,60,1701.22,912.48,776.08,136.4,132.3
6615.0,60,1701.22,1259.78,788.86,470.92,96.77
6615.0,60,1701.22,955.01,776.85,178.16,127.66
6615.0,60,1701.22,945.74,790.07,155.67,128.91
6615.0,60,1701.22,983.99,778.2,205.79,123.9
6615.0,60,1701.22,1011.25,822.07,189.18,120.56
6615.0,60,1701.22,1188.09,819.57,368.52,102.61
6615.0,60,1701.22,1034.56,812.8,221.75,117.84
6615.0,60,1701.22,981.47,792.72,188.76,124.22
6615.0,60,1701.22,932.61,749.82,182.79,130.72
6615.0,60,1701.22,978.73,801.02,177.7,124.56
6615.0,60,1701.22,1011.79,817.51,194.29,120.49
6615.0,60,1701.22,927.94,764.83,163.11,131.38
6615.0,60,1701.22,1012.18,816.42,195.77,120.45
6615.0,60,1701.22,910.68,749.83,160.85,82.76
19635.0,24,6894.33,3994.39,3080.77,913.62,917.86
19635.0,24,6894.33,3734.95,3073.35,661.6,981.61
19635.0,24,6894.33,3769.01,3261.72,507.3,972.74
19635.0,24,6894.33,3836.84,3177.77,659.07,955.55
19635.0,24,6894.33,3862.75,3046.83,815.92,949.14
19635.0,24,6894.33,3880.28,3205.52,674.77,944.85
19635.0,24,6894.33,4089.56,3311.8,777.76,896.5
19635.0,24,6894.33,4105.05,3041.71,1063.34,893.11
19635.0,24,6894.33,4099.15,3336.36,762.79,894.4
19635.0,24,6894.33,4432.78,3346.23,1086.55,827.08
19635.0,24,6894.33,3843.0,3123.13,719.88,954.01
19635.0,24,6894.33,3960.5,3218.07,742.43,925.71
19635.0,24,6894.33,3653.53,3026.54,626.99,981.75
19635.0,24,6894.33,3679.35,3017.27,662.07,981.75
19635.0,24,6894.33,3772.17,3157.94,614.23,971.93
19635.0,24,6894.33,3934.21,3293.42,640.79,931.9
19635.0,24,6894.33,3868.93,3064.89,804.03,947.62
19635.0,24,6894.33,3828.96,3135.01,693.95,957.51
19635.0,24,6894.33,3844.8,3175.97,668.83,953.57
19635.0,24,6894.33,3937.25,3272.76,664.49,931.18
19635.0,24,6894.33,3827.82,3151.77,676.05,865.24
32865.0,48,4297.84,2592.19,2087.51,504.68,737.89
32865.0,48,4297.84,2616.06,2042.19,573.87,731.15
32865.0,48,4297.84,2420.65,1938.62,482.03,790.18
32865.0,48,4297.84,2190.16,1878.32,311.84,821.62
32865.0,48,4297.84,2384.16,2024.63,359.53,802.27
32865.0,48,4297.84,2411.42,2017.83,393.59,793.2
32865.0,48,4297.84,2422.75,1952.16,470.59,789.49
32865.0,48,4297.84,2284.13,1949.68,334.44,821.62
32865.0,48,4297.84,2679.78,2014.22,665.56,713.77
32865.0,48,4297.84,2376.87,1919.6,457.27,804.73
32865.0,48,4297.84,2368.8,1957.89,410.91,807.47
32865.0,48,4297.84,2410.58,1993.92,416.66,793.48
32865.0,48,4297.84,2435.39,2031.82,403.57,785.39
32865.0,48,4297.84,2244.81,1882.05,362.76,821.62
32865.0,48,4297.84,2341.1,1896.58,444.53,817.03
32865.0,48,4297.84,2572.68,2056.78,515.9,743.48
32865.0,48,4297.84,2784.62,2081.57,703.05,686.89
32865.0,48,4297.84,2246.38,1872.14,374.24,821.62
32865.0,48,4297.84,2387.36,1980.16,407.2,801.19
32865.0,48,4297.84,2474.25,2083.02,391.23,773.06
32865.0,48,4297.84,2395.01,1983.8,411.2,798.64
32865.0,48,4297.84,2711.28,2024.8,686.48,705.48
32865.0,48,4297.84,2356.71,1923.08,433.63,811.62
32865.0,48,4297.84,2273.37,1919.17,354.2,821.62
32865.0,48,4297.84,2301.97,1972.32,329.65,821.62
32865.0,48,4297.84,2290.29,1941.21,349.07,821.62
32865.0,48,4297.84,2532.03,2049.06,482.97,755.42
32865.0,48,4297.84,2339.34,1925.75,413.59,817.64
32865.0,48,4297.84,2327.27,1890.76,436.51,821.62
32865.0,48,4297.84,2525.0,2079.45,445.56,757.52
32865.0,48,4297.84,2299.23,1938.1,361.13,821.62
32865.0,48,4297.84,2342.84,1873.82,469.02,816.42
32865.0,48,4297.84,2367.16,1876.93,490.22,808.03
32865.0,48,4297.84,2530.86,2002.75,528.12,755.77
32865.0,48,4297.84,2472.39,1989.6,482.8,773.64
32865.0,48,4297.84,2379.77,1987.41,392.36,803.75
32865.0,48,4297.84,2888.54,2027.41,861.13,662.18
32865.0,48,4297.84,2494.31,2093.67,400.63,766.84
32865.0,48,4297.84,2863.83,2043.19,820.64,667.9
32865.0,48,4297.84,2567.84,2069.85,498.0,744.88
32865.0,48,4297.84,2381.69,1911.58,470.11,803.1
32865.0,48,4297.84,2382.2,1980.28,401.92,802.93
32865.0,48,4297.84,2516.05,2043.73,472.32,47.95
9870.0,24,2555.74,1455.94,1184.92,271.02,469.24
9870.0,24,2555.74,1519.15,1235.13,284.02,449.71
9870.0,24,2555.74,1427.15,1167.87,259.28,478.7
9870.0,24,2555.74,1458.6,1239.89,218.7,468.38
9870.0,24,2555.74,1448.48,1180.67,267.81,471.65
9870.0,24,2555.74,1536.0,1243.78,292.21,444.78
9870.0,24,2555.74,1411.21,1133.44,277.77,484.11
9870.0,24,2555.74,1428.2,1142.89,285.31,478.35
9870.0,24,2555.74,1357.25,1121.66,235.59,493.5
9870.0,24,2555.74,1534.95,1244.89,290.06,445.08
9870.0,24,2555.74,1361.01,1173.41,187.6,493.5
9870.0,24,2555.74,1345.47,1141.45,204.02,493.5
9870.0,24,2555.74,1505.27,1226.69,278.58,453.86
9870.0,24,2555.74,1341.28,1113.64,227.64,493.5
9870.0,24,2555.74,1471.61,1173.83,297.78,464.24
9870.0,24,2555.74,1365.03,1118.76,246.27,493.5
9870.0,24,2555.74,1371.86,1134.66,237.2,493.5
9870.0,24,2555.74,1397.57,1128.28,269.29,488.83
9870.0,24,2555.74,1374.8,1127.59,247.21,493.5
9870.0,24,2555.74,1405.61,1115.43,290.19,486.04
9870.0,24,2555.74,1406.04,1143.83,262.22,332.51
30975.0,24,4255.83,2317.25,1949.49,367.75,1540.73
30975.0,24,4255.83,2242.16,1865.57,376.6,1548.75
30975.0,24,4255.83,2430.97,2020.27,410.7,1468.65
30975.0,24,4255.83,2408.44,2059.62,348.82,1482.39
30975.0,24,4255.83,2627.49,2021.38,606.11,1358.8
30975.0,24,4255.83,2424.02,2013.63,410.39,1472.86
30975.0,24,4255.83,2748.18,1929.54,818.64,1299.13
30975.0,24,4255.83,2487.81,2001.27,486.54,1435.1
